제목,label
 아내에게 프러포즈한 필리핀 대통령 화제,0
"尹대통령, 청해부대 수단 인근해역으로 급파 지시",0
"판사, 김만배에 진술 앞뒤 너무 안 맞아 만들어내지 말라 경고",0
성추문 같은 추잡한 질문 말라 화낸 미국 대통령,0
 尹대통령 무력충돌수단에 청해부대 급파,0
野에서도 중국의 모욕적 언행 좌시해선 안 된다 목소리,0
"강래구 영장 기각에 검찰 반발 법원 납득 못해, 재청구 검토",0
강래구 영장 기각에 검찰 납득할 수 없어 재청구 검토,0
고민정 숏컷 최재형 눈밑 지방배치 정치인들의 스타일 변신 왜,0
말같지 않은 소리 한동훈 발언에 스읍 이재명 6초 침묵,0
40층 랜드마크 입주 시작한 북한 신도시 화성지구모습은?,0
김기현 전광훈에 도움 청한 적 있어 터무니없는 요구해 거절,0
북한 어린이 59% 필수예방접종 못 받아 코로나19 국경 폐쇄 영향,0
"2900억 초호화 멕시코 대통령 전용기, 반값도 못 받고 팔았다",0
노동시간 단축은 선진국이 갈 방향 저출생 불평등 해결 열쇠,0
"미 국무부, 중국의 윤 대통령 비난에 한국과 대만 문제 계속 조율",0
"2024 美 대선은 리턴 매치? 바이든 재선 지지 상승, 기소트럼프 약진",0
"민주당 강성 지지층, 그들은 왜 멈추지 않는가",0
정치권까지 번진 언론재단의 KBS 기자 해외 연수 취소 결정,0
민주당 짐 전락한 DJ 젊은 남자 송영길 부메랑 된 그의 말,0
" 돈봉투 전달송영길 보좌관, 이재명의 성남 멤버였다",0
" 뻔히 닥칠 문제 미루고 외면한 정부 국회, 전세 사기뿐 아니다",0
" 국제 기본 원칙 언급에도 막말 위협 中, 외국 협박에 굴복하자는 野",0
"북한 말로 문건 정리, 노동 고민은 없어 민노총은 괴물이다",0
고민정 의원을 위한 문재인 정권 언론 탄압의 진실,0
이석기 이정희 안 보인다고 OK? 통진당 후신의 국회 입성,1
 민주당 돈봉투왜 터졌나,0
 투명 인간이 된 어느 총영사,0
 尹에 쓴소리해주는 사람이 진짜 청년,0
 소크라테스의 대화법이 아테네를 망쳤다?,0
與도 野도 싫다 무당층 31%로 대선이후 최대,0
"여야, 세입자 우선매수권27일 처리 난항",0
"백현동 사업자, 김인섭에 형님이 다 하지 않았냐",0
"돈봉투 스폰서사업가 강래구, 압수수색 직후 전화해 녹취 설명",0
"정부, 교육전문대학원 사실상 철회 도입 발표 넉달만에",0
4차혁명의 힘은 인문학서 나와 투자 늘려야,0
文때도 힘에 의한 현상변경 반대가 대만 관련 입장,0
한전 사장 인건비 감축 등 자구책 조속 발표,0
"중국, 美 日에도 대만 문제만 나오면 불뿜어",0
北-中-러 파상공세 尹외교 신냉전시험대,0
尹 우크라 지원 일반론적 얘기 이재명 무기지원 국회 동의 받아야,0
"中 대만문제 불장난땐 타죽어 러 무기지원, 한반도 정세에 영향",0
"尹 바이든, 회담서 우크라 대만 문제 논의한다",0
"이재명, 尹 겨냥해 살인수출 자유진영 28國, 우크라 군사 지원",0
"美공화 대선후보 디샌티스, 무역사절단과 25일 방한",0
"돈봉투 스폰서 의혹 사업가, 野의원 12명 후원",0
"美 재무 안보가 경제에 우선, 타협 안해 中수출 추가통제 가능",0
 우리는 지금 위험하다,0
국토장관과 금융위원장의 대화,0
교전원 추진 넉 달 만에 유보 설익은 정책의 예고된 결말,0
민주당 돈봉투 강래구 구속영장 기각 증거 인멸 단정 어려워,0
민주당 돈봉투 의혹핵심 강래구 구속영장 기각,0
민주 돈봉투 의혹강래구 구속영장 기각... 증거 일정 부분 수집,0
민주 돈봉투 의혹강래구 영장 기각 증거수집 방어권 두루 고려,0
"법원, 민주당 돈봉투 의혹강래구 구속영장 기각",0
김기현 전대 때 전광훈에 도움 요청은 사실,0
대만문제 불장난 타죽는다 中에 외교부 언행 신중해야,0
동물학대 막는 김동연 육견 50마리 구했다 주민 신고 독려,0
설익은 교육전문대학원석 달 만에 결국 유보,0
"송영길 귀국만 기다리는 당, 너무 한가해보여 민주당 내부선 부글부글",0
옐런 대중 관계서 안보가 경제 이익과 충돌해도 타협 없다,0
"올해도 야스쿠니에 공물 봉납 기시다도, 일본도 변하지 않는다",0
"러, 우크라 무기 지원 보복언급 관련 미 한국은 방어 약속한 훌륭한 동맹",0
중국의 말폭탄에 윤 대통령 옹호 나선 여당 무례한 망언,0
김기현 전대 때 전광훈에 도움 요청 터무니 없는 요구해 즉시 거절,0
디올사랑 김주애 2만원대 중국산 블라우스입었다,0
전세사기 피해자들 해결책 급한데 여야 책임 공방 두 번 죽이지 말라,0
중국에 대만 문제는 핵심 이익가장 민감한 사안 한 미 정상회담서 나올 언급 수위가 분기점 될 듯,0
"중, 한국의 대사 초치 놓고 엄정한 교섭 제기 강력 반발",0
윤 대통령 대만 발언에 한 중 관계 급속 냉각  무엇이 문제됐나,0
중 러와 등지는 윤 대통령 북핵 해결갈수록 멀어져,0
"LH, 전세사기 피해 주택 사들여 매입임대활용",0
한동훈 말같지 않은 소리 발언에... 이재명 쓰읍 하더니 침묵,0
김기현 전광훈에 도움 요청은 사실 터무니 없는 요구해 거절,0
" 한전 자구책 발표, 전기요금 현실화 더 미룰 수 없다",0
" 반도체 보조금, IRA 안 다루겠다는 한 미 정상회담",0
YS DJ 이후 승자 독식 독점 민주주의로... 한국사회 퇴락,0
김기현 전대때 전광훈에 도와달라 했더니 터무니없는 요구,0
"중, 윤 대통령 겨냥 불타 죽을 것  외교부 언행 신중하라 경고",0
돈봉투 의혹터지자 뚝... 민주당 지지율 4%p 떨어졌다,0
"여야 3당, 전세사기 피해자 지방세 감면 합의",0
유동규 김만배가 너네 대장이재명과 통화했다고 말해,0
NATO 사무총장 7월 정상회의서 우크라이나 가입 논의,0
"檢, 민주당 전당대회 금품살포 수수의혹 수사 어디로 향할까",0
"尹 우크라 지원, 일반론적 얘기 이재명 국회동의 입법 추진",0
"대통령실, 허상수 제외진실화해위원 5명 임명",0
국힘서도 실수 아닌 확신범태영호 김재원 징계 가능할까,0
건보 이사장에 정기석 등 6명 출사표 유력설 정호영 지원 안 해,0
한일 화이트리스트 복원 세 번째 대화...日보다 먼저 복원할 듯,0
윤 대통령 외교 리스크반사이익 돈봉투로 날린 민주당,0
도청 묵인 무기 언급 미국 올인 외교 성적표곧 나온다,0
" 미 일변도에 주변국 충돌 불사, 이것이 국익 외교인가",0
"이재명, 우크라 지원, 충격 상상 초월 공세 수위 높이는 野",0
"정부, 화이트리스트에 日 복원키로 수출규제 3년7개월만",0
"불장난하면 타 죽을 것 美에 아부 한미회담 앞, 中 거칠어졌다",0
" 전세사기 대책, 정쟁 그만두고 신속히 여야합의 특별법 제정을",0
" 근로시간 개편은 우왕좌왕, 노조 때리기만 몰두하는 정부",0
"전대 돈봉투강래구, 수자원공사 상임감사위원 의원면직",0
"돈봉투위기 고조된 민주당, 비상의원총회 진상조사 요구 봇물",0
"장예찬 돈봉투 받은 돈핵관들, 공천 안주면 이재명 버릴 것",0
"대만인들, 한국에 경고한 中 외교부장 조롱한 이유 ",0
"정부, LH 매입임대로 전세사기 주택 우선 매수 추진",0
中 대만문제 불장난땐 타죽어 러 무기공급은 적대행위,0
"미국만 믿고 바로 옆 중 러 동시 자극 상식 반해, 타 죽을 것",0
"韓美 형제 스텔스기F-35알파 브라보, 동해서 함께 날았다",0
러시아 중국과 척지는 윤 대통령  신냉전키워 북핵 해결 먹구름,0
" 민노총 간부, 국보법 위반 혐의 목사 접촉관련",0
옐런 경제보다 국가안보 우선 대중 민간투자 규제 임박,0
 한미공군 연합 편대비행,0
전북대 교수들 시국성명 윤석열 정부의 친일 굴욕 외교 반대,0
"군 수송기, 무력충돌수단 교민 철수 위해 출발...특수부대도 투입",0
"정부 전세사기 피해주택, LH 매입임대로 활용  공공매입반대 하루만에 선회",0
"中, 대만해협발언 尹 대통령에 경고 불장난하면 타죽어",0
 한국판 클림비 보고서아동학대 방지법 2년째 계류,0
 유동규 김만배가 너네 대장 이재명과 통화했다 자랑,0
"중국 관영매체, 윤 대통령 방미에 미국 아부 위해 한중관계 희생안돼",0
대통령실 1분기 업무추진비 21억 2000여만원,0
서울교통공사 새 사장에 백호 전 서울시 도시교통실장 내정,0
"12년만의 국빈 방미, 어떤 성과 낼까 핵공유 방식 문서화 조율 중",0
오세훈 야당은 외교를 정쟁 도구로 여겨 국가 미래 어둡다,0
"전세사기 대책 법안 여야 일부 합의 與, 공공매입 두곤 난색",0
돈봉투 의혹 검찰 기획수사 의혹에 펄쩍 뛴 한동훈 말 같지도 않은 소리,0
서울교통공사 사장에 백호 전 서울시 교통실장 내정,0
"여야, 전세사기 피해자 우선매수권27일 처리 미지수",0
北 최선희 핵 보유국 지위 불가역적...통일부 국제사회 우려 경청하라,0
Rumors of a Politician Behind the Construction Kings Business: Won Hee-ryong Requests a Special Investigation,1
Asking for Trouble and Heightening Security Risks: President Yoons Negative Diplomacy under Fire,0
해결책 찾기도 부족한 시간에... 여야 네 탓 공방에 막막한 전세사기 피해자들,0
김기현 발악적 행태로 국민 설득 못한다 민주당 추진 방송법 개정 비판,0
與도 野도 싫다 무당층 31% 대선 이후 최대,0
"중국, 한국의 주한중국대사 초치에 서울 베이징서 교섭 제기",0
전세사기 3당 긴급회동... 우선매수권27일 신속 처리 공감대,0
"윤 대통령, 국힘 지도부에 무기지원은 글로벌 중추국 역할",0
이재명 무기지원 철회해야 국회 동의 받도록 입법 추진,0
"한동훈, 돈봉투 기획수사野주장에 말 같지도 않은 소리",0
"최훈종 하남시의원, 하남시 원도심 신도시 균형발전 위한 정책 마련제안",0
"돈봉투 사건스폰서 의혹 사업가, 민주당 의원 12명에 6500만원 후원",0
YS DJ 때와 달리 한국 사회 깊은 어둠 YS정부 30주년 대담회,0
그냥 두고 볼 수가 없네 잠행 깼다 몸 푸는 여야 2인자들,0
임희도 하남시의원 민간위탁 조례 개정 공공위탁 의회 동의거쳐야,0
우크라 군사 지원 가능성 내비친 한국 한-러 관계 어디로?,0
"여권 실세이철규, 중국에 매우 무례하다 때린 이유는 ",0
박성연 서울시의원 소방 현장 근무체계 유의미한 변화,0
"이재명 尹 우크라 무기 지원 발언, 국민에 사과하고 철회하라",0
"이재명 尹, 우크라 무기지원 가능성 공개 언급 발언 철회하고 사과해야",0
한동훈 돈봉투 수사가 정치탄압? 승부조작 수사는 스포츠 탄압인가,0
한동훈 돈봉투 수사가 정치 탄압? 승부조작 수사하면 스포츠 탄압이냐,0
"수사 대상과 꼭말싸움 한동훈 민주당, 말 같지도 않아",0
조규홍 복지장관 연일 간호법 중재행보,0
"우원식 송영길 귀국만 기다리는 당 한가해, 비상의총 열어야",0
"김영옥 서울시의원, 교육청 추경 학교 노후 인조잔디 사업예산반영",0
"한동훈, 민주당 겨냥 평범한 국민은 몇만원 받아도 구속된다",0
개고기 종식 노력 김건희에 개농장 단체 동물단체 편들지 말고 중립 지키라,0
"신민호 전남도의원, 여순사건 진상규명 골든타임 지나고 있어",0
러엔 난독 의심 中엔 국격 의심...尹의 선명한 원칙대응 왜,0
"바이든, 25일 재선 도전 발표 공화당 잠룡 디샌티스 방한",0
의원에게도 네이버 비판은 난제 가두리 방식 영업으로 업계 황폐화,0
"정부, 교전 격화수단에 군 수송기 병력 투입  재외국민 철수 목적",0
무력 충돌수단 체류 국민 철수에 군 수송기 투입 尹 재외국민 안전 최선,0
수단 내전 어떻길래...정부 국민 안전 중요 軍수송기 병력 급파,0
"이재명 우크라 무기 지원, 퍼주기 외교  윤 대통령 사과해야",0
"北 군사정찰위성 발사, 이번에도 ICBM 기술 확보 차원일까",0
안철수 당심 100% 전대로 민심 이반 의석 훨씬 더 줄 수도,0
"윤 대통령, 무력충돌악화 수단에 군 수송기 급파 지시",0
"이재명 尹, 국민 안녕 고려했나 한마디가 동북아 질서 흔들어",0
"80살바이든, 재선 도전? 미 언론 이르면 다음주 공식 선언",0
빅마우스홍준표 당 향한 입다문다는데... 다음 대선 준비하나 ,0
발표 3개월 만에 교육부 교전원 도입 미룬다,0
"통합위, 청년젠더특위 출범 젠더갈등 해소 첫걸음",0
"홍국표 서울시의원, 창2동구립경로당 개소식참석",0
마약 전면전 나선 경찰청장 중국과 공조 강화 지시,0
"백악관, 한국 협박한 러시아에 한국은 방어 약속한 동맹",0
中외교부장 대만 문제로 불장난하면 불에 타죽을 것,0
"돈봉투 스폰서 지목 김씨, 15년 전부터 민주당에 후원금",0
"與野 3당, 전세사기 대책 입법 협조 27일 본회의서 처리",0
"대통령 직속 탄녹위 전기요금 인상, 더 이상 미룰 수 없다",0
"尹, 수단 사태에 재외국민 안전 위해 군 수송기 급파하라 지시",0
"中, 訪美 앞둔 尹 대통령에 대만 문제 장난치면 불에 타 죽을 것",0
중국 대만 문제로 불장난하면 타 죽을 것 윤 대통령 발언 겨냥,0
"尹, 수단 사태에 재외국민 안전 최선 군 수송기 급파 등 지시",0
 中외교부장 대만문제서 불장난하면 타 죽을 것,0
"안철수 내년 총선, 의석 더 줄어들 수도 경기도 분위기 심각",0
보고 싶지 않은데 조문 온 김기현 질문에 말꼬리 문다고 했다,0
"美 재무장관 대중 관계, 안보가 경제보다 우선",0
尹 말참견 말라는 중국에 이철규 몸집 크다고 대국 아냐,0
"中외교부장, 尹대통령 대만발언 언급 후 불장난하면 스스로 타 죽어",0
이정근이 정치자금 자주 요구했으나 거절 강래구 일주일 전 연락와,0
"박홍근 尹대통령 아무 말 투척, 자해적 외교 폭탄 되고 있어",0
"與 野 쌍특검, 돈 봉투 방탄용 국회 혼란의 도가니로 몰아",0
"尹 말참견 말라는 중국에 이철규 매우 무례, 금도 넘어섰다",0
"野, 尹 방미 사흘전 美에 서한 공식 사과 요구",0
외교부 日 야스쿠니 신사 공물 봉납 참배 깊은 실망과 유감,0
활동 재개한 안철수 정신 차려야 한다. 당정일체는 민주주의에 배치,0
